Received Time; Local Time;
1471243665966;1471243668924;
1471243666017;1471243668975;
1471243666068;1471243669026;
1471243666119;1471243669076;
1471243666170;1471243669127;
1471243666221;1471243669179;
1471243666272;1471243669230;
1471243666323;1471243669281;
1471243666374;1471243669332;
1471243666425;1471243669383;
1471243666476;1471243669434;
1471243666527;1471243669485;
1471243666578;1471243669536;
1471243666629;1471243669587;
1471243666680;1471243669638;
1471243666731;1471243669689;
1471243666782;1471243669740;
1471243666833;1471243669791;
1471243666884;1471243669842;
1471243666935;1471243669893;
1471243666986;1471243669944;
1471243667037;1471243669994;
1471243667088;1471243670046;
1471243667139;1471243670096;
1471243667190;1471243670148;
1471243667241;1471243670199;
1471243667292;1471243670250;
1471243667343;1471243670301;
1471243667394;1471243670351;
1471243667445;1471243670402;
1471243667496;1471243670453;
1471243667547;1471243670505;
1471243667598;1471243670555;
1471243667649;1471243670607;
0;1471243670709;
0;1471243670810;
0;1471243670912;
0;1471243671014;
0;1471243671116;
0;1471243671219;
1471243668312;1471243671319;
1471243668363;1471243671327;
1471243668414;1471243671379;
1471243668465;1471243671423;
1471243668516;1471243671474;
1471243668569;1471243671528;
1471243668620;1471243671578;
1471243668671;1471243671629;
1471243668722;1471243671680;
1471243668773;1471243671731;
1471243668824;1471243671782;
1471243668875;1471243671833;
1471243668926;1471243671884;
1471243668977;1471243671935;
1471243669028;1471243671986;
1471243669079;1471243672037;
1471243669130;1471243672088;
1471243669181;1471243672139;
1471243669232;1471243672190;
1471243669283;1471243672241;
1471243669334;1471243672292;
1471243669385;1471243672343;
1471243669436;1471243672394;
1471243669487;1471243672445;
1471243669538;1471243672496;
1471243669589;1471243672547;
1471243669640;1471243672598;
1471243669691;1471243672649;
1471243669742;1471243672700;
1471243669793;1471243672751;
1471243669844;1471243672804;
1471243669895;1471243672853;
1471243669946;1471243672904;
1471243669997;1471243672955;
1471243670048;1471243673006;
1471243670099;1471243673057;
1471243670150;1471243673108;
1471243670201;1471243673159;
1471243670252;1471243673210;
1471243670303;1471243673261;
1471243670354;1471243673312;
1471243670405;1471243673363;
1471243670456;1471243673414;
1471243670507;1471243673465;
1471243670558;1471243673516;
1471243670609;1471243673567;
1471243670660;1471243673618;
1471243670711;1471243673669;
1471243670762;1471243673720;
1471243670813;1471243673771;
1471243670864;1471243673822;
1471243670915;1471243673873;
1471243670966;1471243673924;
1471243671017;1471243673975;
1471243671068;1471243674026;
1471243671119;1471243674077;
1471243671170;1471243674128;
1471243671221;1471243674179;
1471243671272;1471243674230;
1471243671323;1471243674281;
1471243671374;1471243674332;
1471243671425;1471243674383;
1471243671476;1471243674434;
1471243671527;1471243674485;
1471243671578;1471243674536;
1471243671629;1471243674587;
1471243671680;1471243674638;
1471243671731;1471243674689;
1471243671782;1471243674740;
1471243671833;1471243674791;
1471243671884;1471243674842;
1471243671935;1471243674893;
1471243671986;1471243674944;
1471243672037;1471243674995;
1471243672088;1471243675046;
1471243672139;1471243675097;
1471243672190;1471243675148;
1471243672241;1471243675199;
1471243672292;1471243675250;
1471243672343;1471243675301;
1471243672394;1471243675352;
1471243672445;1471243675403;
1471243672496;1471243675454;
1471243672547;1471243675505;
1471243672598;1471243675556;
1471243672649;1471243675607;
1471243672700;1471243675658;
1471243672751;1471243675709;
1471243672802;1471243675760;
1471243672853;1471243675811;
1471243672904;1471243675862;
1471243672955;1471243675913;
1471243673006;1471243675964;
1471243673057;1471243676015;
1471243673108;1471243676066;
1471243673159;1471243676117;
1471243673210;1471243676168;
1471243673261;1471243676219;
1471243673312;1471243676270;
1471243673363;1471243676321;
1471243673414;1471243676372;
1471243673465;1471243676423;
1471243673516;1471243676474;
1471243673567;1471243676525;
1471243673618;1471243676576;
1471243673669;1471243676627;
1471243673720;1471243676678;
1471243673771;1471243676729;
1471243673822;1471243676780;
1471243673873;1471243676831;
1471243673924;1471243676882;
